epoch, loss_tr,loss_te, acc_tr, acc_te 
0, 4092.3762301606666, 818.3510894054131, 0.89876, 0.8994
1, 3217.0547757072704, 678.1375351100405, 0.92162, 0.9173
2, 2862.1393985967434, 609.1158450053177, 0.93232, 0.9261
3, 2502.1141226310774, 548.8485469476684, 0.93988, 0.9336
4, 2576.086182415369, 569.7426188480152, 0.93854, 0.9316
5, 2280.236347637443, 533.9656943723315, 0.9454, 0.9353
6, 2120.2733148653047, 501.73016749402007, 0.95028, 0.9405
7, 1981.5936184563689, 488.75637997161294, 0.95228, 0.9412
8, 2020.248025720306, 490.69147896773086, 0.95272, 0.9421
9, 1861.7046834784592, 473.86379733200323, 0.95604, 0.9444
10, 1816.9848862393771, 473.0437567651163, 0.95716, 0.9438
11, 1772.8969395066351, 456.37422837066197, 0.95798, 0.9456
12, 1831.7436974870718, 473.7021879514841, 0.958, 0.9459
13, 1688.487012796609, 463.25007608358476, 0.9614, 0.9467
14, 1636.8650268577214, 449.19418193415925, 0.96238, 0.9467
15, 1646.9311609083966, 464.2449113667285, 0.9612, 0.9445
16, 1544.4307180891576, 453.8513148471803, 0.96364, 0.946
17, 1509.5038003848288, 451.49714705152314, 0.96442, 0.9465
18, 1537.7355905490804, 449.49679942088096, 0.9642, 0.9484
19, 1598.8186655870702, 478.8172171221125, 0.9621, 0.9431
20, 1574.0719703471875, 465.2409363152304, 0.9637, 0.9458
21, 1506.9898100215817, 443.5214658471332, 0.96482, 0.949
22, 1462.7236847064241, 443.8683761965909, 0.96612, 0.9483
23, 1527.3935957989754, 454.3489904228905, 0.96586, 0.9486
24, 1388.940713079555, 462.0792923673233, 0.96818, 0.9471
25, 1398.5958854383196, 450.88976095747716, 0.96806, 0.9468
26, 1352.9469955390637, 454.69959741175063, 0.96924, 0.9468
27, 1305.9756870173953, 452.6216064455647, 0.96996, 0.9483
28, 1319.5891074156143, 460.530354207797, 0.96926, 0.9475
29, 1321.6741245243438, 454.196742022665, 0.96952, 0.9487
30, 1209.038294272853, 445.68300108606877, 0.97128, 0.9474
31, 1251.1078959017286, 455.72992945275536, 0.97128, 0.9466
32, 1230.9912897542042, 450.32219325008845, 0.97098, 0.9487
33, 1193.8365077503977, 447.0082684724183, 0.97202, 0.9489
34, 1319.0276609233924, 475.58362113239934, 0.96974, 0.9448
35, 1234.0211968727635, 457.9484828564455, 0.9708, 0.9469
36, 1248.0719210568652, 466.0048109377126, 0.97094, 0.9475
37, 1122.350690409694, 451.04927815134965, 0.97384, 0.9494
38, 1233.2846038445084, 466.1401987846072, 0.9715, 0.9479
39, 1238.8576160792131, 472.3559999110164, 0.97272, 0.9474
40, 1116.9356524357038, 448.55866424063237, 0.97364, 0.9478
41, 1057.7709943396342, 450.5846970026786, 0.9749, 0.9478
42, 1115.9633091854453, 449.7892481874747, 0.9741, 0.9494
43, 1054.548817623493, 459.8136967771875, 0.97546, 0.9468
44, 1080.5308679362874, 455.91231683787663, 0.97432, 0.948
45, 1044.4897006922386, 455.9941404470561, 0.97486, 0.9486
46, 1049.4533946330628, 454.8643917409302, 0.97476, 0.9471
47, 1062.3873367362175, 463.0413697333584, 0.97542, 0.9481
48, 1093.0011536645968, 464.4073547458129, 0.97424, 0.9468
49, 1087.0907825880631, 479.2047970968864, 0.97462, 0.9457
