epoch, loss_tr,loss_te, acc_tr, acc_te 
0, 24999.999916164234, 4999.999985521962, 0.0984, 0.0988
1, 24999.999915610904, 4999.999985428884, 0.0984, 0.0988
2, 24999.999915049884, 4999.999985334471, 0.09838, 0.0988
3, 24999.999914480788, 4999.999985238761, 0.09838, 0.0988
4, 24999.999913903554, 4999.999985141702, 0.09838, 0.0988
5, 24999.99991331792, 4999.999985043262, 0.09838, 0.0988
6, 24999.999912723717, 4999.999984943408, 0.09838, 0.0988
7, 24999.999912120602, 4999.999984842113, 0.09836, 0.0988
8, 24999.999911508756, 4999.999984739331, 0.09834, 0.0988
9, 24999.999910887756, 4999.999984635044, 0.09826, 0.0988
10, 24999.999910257422, 4999.999984529195, 0.09826, 0.0988
11, 24999.999909617447, 4999.999984421787, 0.09826, 0.0988
12, 24999.999908967413, 4999.999984312761, 0.09826, 0.0988
13, 24999.999908307553, 4999.999984202072, 0.09826, 0.0988
14, 24999.99990763734, 4999.9999840896835, 0.09824, 0.0988
15, 24999.999906956942, 4999.999983975548, 0.09824, 0.0988
16, 24999.99990626528, 4999.999983859623, 0.09824, 0.0988
17, 24999.99990556243, 4999.999983741908, 0.09824, 0.0988
18, 24999.999904848377, 4999.999983622295, 0.09824, 0.0988
19, 24999.999904122735, 4999.999983500767, 0.09822, 0.0988
20, 24999.99990338518, 4999.99998337726, 0.09822, 0.0988
21, 24999.999902635074, 4999.999983251745, 0.09822, 0.0988
22, 24999.999901872583, 4999.999983124161, 0.09822, 0.0988
23, 24999.999901097315, 4999.9999829944645, 0.09822, 0.0988
24, 24999.999900308467, 4999.999982862579, 0.09822, 0.0988
25, 24999.999899506227, 4999.999982728418, 0.09822, 0.0988
26, 24999.999898689646, 4999.999982592, 0.09822, 0.0988
27, 24999.99989785903, 4999.999982453206, 0.09822, 0.0988
28, 24999.99989701336, 4999.999982311982, 0.09822, 0.0988
29, 24999.999896152603, 4999.999982168269, 0.09822, 0.0988
30, 24999.99989527625, 4999.999982021987, 0.09822, 0.0988
31, 24999.999894383913, 4999.999981873069, 0.0982, 0.0988
32, 24999.999893474884, 4999.999981721436, 0.0982, 0.0988
33, 24999.999892549007, 4999.999981567026, 0.0982, 0.0988
34, 24999.999891605356, 4999.999981409718, 0.09818, 0.0988
35, 24999.99989064386, 4999.999981249473, 0.09818, 0.0988
36, 24999.99988966364, 4999.999981086163, 0.09816, 0.0988
37, 24999.999888664104, 4999.999980919731, 0.09812, 0.0988
38, 24999.99988764494, 4999.9999807500735, 0.09812, 0.0988
39, 24999.999886605423, 4999.999980577068, 0.09812, 0.0988
40, 24999.99988554491, 4999.999980400606, 0.0981, 0.0988
41, 24999.99988446261, 4999.999980220608, 0.09806, 0.0988
42, 24999.999883358127, 4999.999980036966, 0.09804, 0.0988
43, 24999.9998822304, 4999.99997984951, 0.09804, 0.0988
44, 24999.999881078686, 4999.999979658174, 0.09804, 0.0988
45, 24999.99987990259, 4999.999979462778, 0.09802, 0.0988
46, 24999.999878700564, 4999.999979263247, 0.09802, 0.0988
47, 24999.999877472368, 4999.999979059381, 0.09802, 0.0987
48, 24999.999876217, 4999.999978851069, 0.09802, 0.0987
49, 24999.99987493317, 4999.999978638154, 0.09802, 0.0987
