epoch, loss_tr,loss_te, acc_tr, acc_te 
0, 6727.190332807911, 1315.664201167546, 0.81046, 0.8159
1, 4216.6516684179505, 825.6237021998614, 0.8961, 0.898
2, 3647.244588749826, 730.2258245485484, 0.911, 0.9102
3, 3281.2133961076433, 665.7593889835642, 0.91874, 0.9178
4, 3084.5997134419226, 649.7803426773655, 0.92522, 0.9202
5, 2815.725732308602, 611.395949002412, 0.93156, 0.9252
6, 2697.111019712421, 594.6449041233896, 0.93458, 0.9278
7, 2679.564312558321, 604.4501158382844, 0.9371, 0.9273
8, 2462.789885960019, 561.9359448397973, 0.94116, 0.9318
9, 2375.9368231237117, 552.0959380193401, 0.94354, 0.9325
10, 2371.4489834059445, 566.7434039140468, 0.94372, 0.9298
11, 2308.733311595558, 554.9247313088524, 0.9455, 0.9323
12, 2184.9535375626087, 540.464631673301, 0.94816, 0.9331
13, 2143.1879390803415, 535.6973469958167, 0.94938, 0.9345
14, 2063.504170146434, 529.3205720884945, 0.95064, 0.9342
15, 2020.1416608550535, 521.8987085009586, 0.95222, 0.9344
16, 1974.5537294333194, 521.9322159277482, 0.95362, 0.9372
17, 1961.7911461017768, 527.1587502312511, 0.95366, 0.9352
18, 1912.4300587548744, 518.4569057123633, 0.95504, 0.9373
19, 1846.0784126816463, 514.0716902182412, 0.95608, 0.9377
20, 1862.4373625891908, 516.3007335630871, 0.95604, 0.939
21, 1799.4383447951527, 507.80320175373987, 0.95738, 0.9375
22, 1766.971968528626, 504.98750527078687, 0.95916, 0.94
23, 1776.033797923058, 510.6188816694111, 0.95812, 0.9363
24, 1736.985050363564, 502.0972080322712, 0.9591, 0.9388
25, 1688.6040102884626, 498.95195915723787, 0.9603, 0.9377
26, 1726.1928489207314, 501.6491528683704, 0.9587, 0.9384
27, 1641.2011098934995, 494.91425271491113, 0.96166, 0.9404
28, 1755.3328875481864, 511.3161141207425, 0.95906, 0.9375
29, 1646.9831387115273, 500.9381394402747, 0.96154, 0.9402
30, 1631.9338490177768, 506.21183518865377, 0.96176, 0.9388
31, 1615.2054835635145, 499.0210908811136, 0.96232, 0.9398
32, 1557.7844551465785, 491.433155590288, 0.96356, 0.9403
33, 1534.366031350212, 491.2737497714034, 0.96378, 0.9398
34, 1509.1101138988142, 489.66031164990136, 0.96472, 0.941
35, 1509.5670463369083, 493.2471931817302, 0.96466, 0.9402
36, 1478.5443368145388, 491.29917626264574, 0.96504, 0.9413
37, 1478.6144317533497, 490.7724112560358, 0.96532, 0.9408
38, 1479.5204726962943, 496.4754772642837, 0.96544, 0.9397
39, 1433.2979040890193, 490.7106111791319, 0.96642, 0.9404
40, 1413.5613369009577, 488.4181989279003, 0.96648, 0.9407
41, 1407.908928128996, 493.8062602261163, 0.96684, 0.9401
42, 1437.602449002505, 495.48555797808746, 0.96604, 0.9413
43, 1379.1642425595091, 486.90621965300755, 0.9678, 0.9416
44, 1381.3465115383847, 490.72599841008025, 0.9675, 0.941
45, 1348.6945300707232, 488.3843261522825, 0.9678, 0.9427
46, 1335.386775472913, 488.1317927106345, 0.96824, 0.9415
47, 1347.5928088663452, 486.7999575571219, 0.96802, 0.9408
48, 1304.4908352835782, 485.3044305962991, 0.96884, 0.9429
49, 1325.7094645774996, 491.46308123161526, 0.96846, 0.9418
